candidate_id	incident_id	document_id	chunk_id	relevance_grade	evidence_role	rationale	annotator_id	annotation_state
2bc10b69744b6e68	inc_440b5aa2334e385c	KBH-D057-a23e26c1b47c	KBH-D057-a23e26c1b47c-C0002					unjudged
96fe14ddd2e316ba	inc_28de536b28e1a888	KBH-D057-cb3046b350d8	KBH-D057-cb3046b350d8-C0001					unjudged
068aa951e6954be1	inc_0f782051d78bc07a	KBH-D057-c118fc413f7c	KBH-D057-c118fc413f7c-C0002					unjudged
7a975ee94f6af76d	inc_25067c4b053b5763	KBH-D057-b33563055168	KBH-D057-b33563055168-C0014					unjudged
baae1f00983cda6f	inc_57f6ede7e94d009b	KBH-D057-cb3046b350d8	KBH-D057-cb3046b350d8-C0004					unjudged
5aab2da3d6ab087c	inc_a5147fba2d0d1f50	KBH-D057-ccf307e9aff7	KBH-D057-ccf307e9aff7-C0002					unjudged
ba0c6979998fa4d1	inc_a5147fba2d0d1f50	KBH-D058-714196198a9c	KBH-D058-714196198a9c-C0006					unjudged
698a7cfcbb8142dd	inc_28c54291b6ec0364	KBH-D057-b33563055168	KBH-D057-b33563055168-C0006					unjudged
59ceec48a099a7f5	inc_08457c0fbff4700e	KBH-D057-ccf307e9aff7	KBH-D057-ccf307e9aff7-C0002					unjudged
c64d4123ff2781eb	inc_a5147fba2d0d1f50	KBH-D057-b33563055168	KBH-D057-b33563055168-C0002					unjudged
91ac1925f3a3308a	inc_15361b2d5df6a488	KBH-D057-ccf307e9aff7	KBH-D057-ccf307e9aff7-C0002					unjudged
4a7a64004d472165	inc_28c54291b6ec0364	KBH-D057-cb3046b350d8	KBH-D057-cb3046b350d8-C0002					unjudged
602be7631c75ec9c	inc_28c54291b6ec0364	KBH-D057-ccf307e9aff7	KBH-D057-ccf307e9aff7-C0002					unjudged
39d49322d7630fbe	inc_1fa5a9117fca9344	KBH-D057-cb3046b350d8	KBH-D057-cb3046b350d8-C0001					unjudged
baef6c1504c7d855	inc_57f6ede7e94d009b	KBH-D057-b33563055168	KBH-D057-b33563055168-C0005					unjudged
ad46c8fb810d393e	inc_447fc19738a290b6	KBH-D057-3265685291bc	KBH-D057-3265685291bc-C0002					unjudged
face79dbeeb54170	inc_08457c0fbff4700e	KBH-D057-b33563055168	KBH-D057-b33563055168-C0005					unjudged
e1297006435b7c4f	inc_2adbb3fd7fbcb7b3	KBH-D057-b33563055168	KBH-D057-b33563055168-C0008					unjudged
ca9a1da4cc22e471	inc_a5147fba2d0d1f50	KBH-D057-b33563055168	KBH-D057-b33563055168-C0005					unjudged
88d63b4c76b0cd1e	inc_28de536b28e1a888	KBH-D057-b33563055168	KBH-D057-b33563055168-C0005					unjudged
3442824750f45070	inc_0f782051d78bc07a	KBH-D057-10119f6772e5	KBH-D057-10119f6772e5-C0002					unjudged
1e247f5ade8f36e8	inc_5aec36653e1ae8e1	KBH-D057-cb3046b350d8	KBH-D057-cb3046b350d8-C0001					unjudged
69d61caaa603f64a	inc_15361b2d5df6a488	KBH-D058-22bb04d72ccf	KBH-D058-22bb04d72ccf-C0009					unjudged
20c7da99abacac97	inc_ddb222a8702276b2	KBH-D057-ccf307e9aff7	KBH-D057-ccf307e9aff7-C0002					unjudged
16a3cdb1b0a08a43	inc_1fa5a9117fca9344	KBH-D057-b33563055168	KBH-D057-b33563055168-C0006					unjudged
5a6640694c208600	inc_28de536b28e1a888	KBH-D059-c0ae2fc5e6c0	KBH-D059-c0ae2fc5e6c0-C0005					unjudged
10377d48666269ad	inc_440b5aa2334e385c	KBH-D057-da18896de895	KBH-D057-da18896de895-C0001					unjudged
c1c88f9c2c49552d	inc_2adbb3fd7fbcb7b3	KBH-D057-c118fc413f7c	KBH-D057-c118fc413f7c-C0002					unjudged
ae3cf3edbfa1c2df	inc_42d05a5a96453d5d	KBH-D057-c118fc413f7c	KBH-D057-c118fc413f7c-C0002					unjudged
f17f0337372dbf64	inc_a9c5f4078ddde5fb	KBH-D058-22bb04d72ccf	KBH-D058-22bb04d72ccf-C0009					unjudged
2bf84798a4e8970c	inc_57f6ede7e94d009b	KBH-D057-b33563055168	KBH-D057-b33563055168-C0004					unjudged
ff3261703ce2fb68	inc_440b5aa2334e385c	KBH-D058-714196198a9c	KBH-D058-714196198a9c-C0006					unjudged
e533680d874483b9	inc_42d05a5a96453d5d	KBH-D058-22bb04d72ccf	KBH-D058-22bb04d72ccf-C0009					unjudged
16f760102040be54	inc_2adbb3fd7fbcb7b3	KBH-D057-b33563055168	KBH-D057-b33563055168-C0005					unjudged
2835ba3a96af1ff7	inc_a5147fba2d0d1f50	KBH-D057-3265685291bc	KBH-D057-3265685291bc-C0002					unjudged
68c6b5476e7eaf55	inc_5aec36653e1ae8e1	KBH-D057-cb3046b350d8	KBH-D057-cb3046b350d8-C0002					unjudged
d4b9820f63c06e70	inc_28c54291b6ec0364	KBH-D057-cb3046b350d8	KBH-D057-cb3046b350d8-C0001					unjudged
ba9ab4949a696256	inc_ddb222a8702276b2	KBH-D057-b33563055168	KBH-D057-b33563055168-C0004					unjudged
f06176e3caa55720	inc_a9c5f4078ddde5fb	KBH-D058-714196198a9c	KBH-D058-714196198a9c-C0006					unjudged
060ab14be9d6662f	inc_0f782051d78bc07a	KBH-D057-b33563055168	KBH-D057-b33563055168-C0002					unjudged
549300bfde5292f9	inc_41b29f4527655ffa	KBH-D057-b33563055168	KBH-D057-b33563055168-C0009					unjudged
1d053682ef743f2a	inc_447fc19738a290b6	KBH-D057-b33563055168	KBH-D057-b33563055168-C0002					unjudged
80b92ad8b871cfc5	inc_1bd0f85d1967890c	KBH-D057-b33563055168	KBH-D057-b33563055168-C0013					unjudged
722c693fe970d639	inc_440b5aa2334e385c	KBH-D057-10119f6772e5	KBH-D057-10119f6772e5-C0002					unjudged
e1321766edfaa9f6	inc_2adbb3fd7fbcb7b3	KBH-D057-cb3046b350d8	KBH-D057-cb3046b350d8-C0002					unjudged
fa9f906b41493fa4	inc_440b5aa2334e385c	KBH-D057-cb3046b350d8	KBH-D057-cb3046b350d8-C0003					unjudged
ae4067fa6f4d5ecd	inc_2adbb3fd7fbcb7b3	KBH-D058-714196198a9c	KBH-D058-714196198a9c-C0006					unjudged
d85151a7486ded1a	inc_42d05a5a96453d5d	KBH-D057-b33563055168	KBH-D057-b33563055168-C0009					unjudged
929cc9c45599ea97	inc_08457c0fbff4700e	KBH-D057-b33563055168	KBH-D057-b33563055168-C0004					unjudged
