mapping_id	incident_id	document_id	chunk_id	mapping_layer	mapping_basis	source_id	service_scope	symptom_family	version_compatibility	is_qrel	relevance_grade	evidence_role	review_state	annotation_version
candidate-inc_b65b223fe2861ce9-MAP-0015	inc_b65b223fe2861ce9	KBH-D057-a23e26c1b47c		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D057	productcatalogservice	general_operational_reference	unverified	false			needs_human_review	coverage-candidate-v1
candidate-inc_b65b223fe2861ce9-MAP-0005	inc_b65b223fe2861ce9	KBH-D057-3265685291bc		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D057	adservice	general_operational_reference	unverified	false			needs_human_review	coverage-candidate-v1
candidate-inc_b65b223fe2861ce9-MAP-0011	inc_b65b223fe2861ce9	KBH-D057-92b8eacf1ebb		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D057	shippingservice	general_operational_reference	unverified	false			needs_human_review	coverage-candidate-v1
candidate-inc_b65b223fe2861ce9-MAP-0016	inc_b65b223fe2861ce9	KBH-D057-b33563055168		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D057	application_wide	application_architecture_or_rpc_contract	unverified	false			needs_human_review	coverage-candidate-v1
candidate-inc_b65b223fe2861ce9-MAP-0017	inc_b65b223fe2861ce9	KBH-D057-c118fc413f7c		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D057	application_wide	network_dns_or_service_unreachable	unverified	false			needs_human_review	coverage-candidate-v1
candidate-inc_b65b223fe2861ce9-MAP-0021	inc_b65b223fe2861ce9	KBH-D057-da18896de895		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D057	application_wide	application_architecture_or_rpc_contract	unverified	false			needs_human_review	coverage-candidate-v1
candidate-inc_b65b223fe2861ce9-MAP-0024	inc_b65b223fe2861ce9	KBH-D057-f4bcce2e6d7e		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D057	application_wide	application_architecture_or_rpc_contract	unverified	false			needs_human_review	coverage-candidate-v1
candidate-inc_b65b223fe2861ce9-MAP-0028	inc_b65b223fe2861ce9	KBH-D058-22bb04d72ccf		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D058	platform_generic	network_dns_or_service_unreachable	unverified	false			needs_human_review	coverage-candidate-v1
candidate-inc_b65b223fe2861ce9-MAP-0029	inc_b65b223fe2861ce9	KBH-D058-4067ea9b384b		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D058	platform_generic	general_operational_reference	unverified	false			needs_human_review	coverage-candidate-v1
candidate-inc_b65b223fe2861ce9-MAP-0030	inc_b65b223fe2861ce9	KBH-D058-54c2092d43a5		incident_candidate	observed_inventory_metric_hint_title_candidate_not_evidence	D058	platform_generic	network_dns_or_service_unreachable	unverified	false			needs_human_review	coverage-candidate-v1
