incident_id	rank	chunk_id	document_id	score
inc_08457c0fbff4700e	1	KBC-D057-4aa99ad9ca8a6ef110f7e03b	KBH-D057-f4bcce2e6d7e	0.03278688524590164
inc_08457c0fbff4700e	2	KBC-D057-728f4de0d3d02c2e44535e4d	KBH-D057-f4bcce2e6d7e	0.03128054740957967
inc_08457c0fbff4700e	3	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	0.03057889822595705
inc_08457c0fbff4700e	4	KBC-D057-45b99fa125935926d356e9b6	KBH-D057-f4bcce2e6d7e	0.030330882352941176
inc_08457c0fbff4700e	5	KBC-D057-e9a382e7d4fd09cb360debfc	KBH-D057-da53c9e679f7	0.029877369007803793
inc_08457c0fbff4700e	6	KBC-D059-d30463249bc318fbf1d34bc5	KBH-D059-880cd100599f	0.029709507042253523
inc_08457c0fbff4700e	7	KBC-D057-0caeb6bf377ab228f9807bc3	KBH-D057-f4bcce2e6d7e	0.029273504273504274
inc_08457c0fbff4700e	8	KBC-D057-6eb155351cb0c12576824a54	KBH-D057-562ed69e4788	0.029211087420042643
inc_08457c0fbff4700e	9	KBC-D057-d2dec06bc5ad6334bea381b1	KBH-D057-c118fc413f7c	0.028693528693528692
inc_08457c0fbff4700e	10	KBC-D057-ebb2cf48c9eed9865917abc8	KBH-D057-b33563055168	0.028083267871170464
inc_0991de462f9a6c05	1	KBC-D057-6eb155351cb0c12576824a54	KBH-D057-562ed69e4788	0.02967032967032967
inc_0991de462f9a6c05	2	KBC-D057-0caeb6bf377ab228f9807bc3	KBH-D057-f4bcce2e6d7e	0.029571646010002173
inc_0991de462f9a6c05	3	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	0.02900988017658188
inc_0991de462f9a6c05	4	KBC-D057-90841863f220313bffa0377b	KBH-D057-1abc0a247aed	0.028782894736842105
inc_0991de462f9a6c05	5	KBC-D058-b868a54e37319ab0c268877e	KBH-D058-54c2092d43a5	0.02817460317460317
inc_0991de462f9a6c05	6	KBC-D057-ebb2cf48c9eed9865917abc8	KBH-D057-b33563055168	0.02738970588235294
inc_0991de462f9a6c05	7	KBC-D057-d2dec06bc5ad6334bea381b1	KBH-D057-c118fc413f7c	0.027031740495291244
inc_0991de462f9a6c05	8	KBC-D057-728f4de0d3d02c2e44535e4d	KBH-D057-f4bcce2e6d7e	0.026779422128259338
inc_0991de462f9a6c05	9	KBC-D058-af53af35781acf2a26a8f0ba	KBH-D058-4067ea9b384b	0.02607709750566893
inc_0991de462f9a6c05	10	KBC-D058-2a6b22a3c5e42c4df64e3f65	KBH-D058-4067ea9b384b	0.02531645569620253
inc_0f782051d78bc07a	1	KBC-D059-d30463249bc318fbf1d34bc5	KBH-D059-880cd100599f	0.031754032258064516
inc_0f782051d78bc07a	2	KBC-D057-878a460540274ab64e37e0c2	KBH-D057-10119f6772e5	0.024643874643874644
inc_0f782051d78bc07a	3	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	0.024614919963757174
inc_0f782051d78bc07a	4	KBC-D058-10388242a077cec6edbb2a9b	KBH-D058-22bb04d72ccf	0.024497309544038517
inc_0f782051d78bc07a	5	KBC-D057-0caeb6bf377ab228f9807bc3	KBH-D057-f4bcce2e6d7e	0.023597626752966557
inc_0f782051d78bc07a	6	KBC-D057-f6c48ce30e1e7270ef4116c4	KBH-D057-10119f6772e5	0.022424242424242423
inc_0f782051d78bc07a	7	KBC-D058-5388925824db7450fe28f4fd	KBH-D058-c2749095504f	0.021874252928520202
inc_0f782051d78bc07a	8	KBC-D058-edeb594af96dcba74c1bf8f1	KBH-D058-c2749095504f	0.021061966522558477
inc_0f782051d78bc07a	9	KBC-D058-9c00a77232e7edf2e0aa73a7	KBH-D058-aaa3e891815f	0.01639344262295082
inc_0f782051d78bc07a	10	KBC-D059-548a3bb384e53f43764daa60	KBH-D059-545ab1351883	0.01639344262295082
inc_15361b2d5df6a488	1	KBC-D057-0caeb6bf377ab228f9807bc3	KBH-D057-f4bcce2e6d7e	0.029030910609857977
inc_15361b2d5df6a488	2	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	0.02900988017658188
inc_15361b2d5df6a488	3	KBC-D057-6eb155351cb0c12576824a54	KBH-D057-562ed69e4788	0.028371628371628373
inc_15361b2d5df6a488	4	KBC-D057-90841863f220313bffa0377b	KBH-D057-1abc0a247aed	0.028205128205128206
inc_15361b2d5df6a488	5	KBC-D057-ebb2cf48c9eed9865917abc8	KBH-D057-b33563055168	0.027820121951219513
inc_15361b2d5df6a488	6	KBC-D057-728f4de0d3d02c2e44535e4d	KBH-D057-f4bcce2e6d7e	0.02736726874657909
inc_15361b2d5df6a488	7	KBC-D057-d2dec06bc5ad6334bea381b1	KBH-D057-c118fc413f7c	0.026702720973466286
inc_15361b2d5df6a488	8	KBC-D058-65a7de2b1cd13f2d6190e03c	KBH-D058-aaa3e891815f	0.025568181818181816
inc_15361b2d5df6a488	9	KBC-D058-10388242a077cec6edbb2a9b	KBH-D058-22bb04d72ccf	0.025274725274725275
inc_15361b2d5df6a488	10	KBC-D058-d1a0ce29e16ba99082a96368	KBH-D058-54c2092d43a5	0.024809741248097414
inc_1bd0f85d1967890c	1	KBC-D057-4aa99ad9ca8a6ef110f7e03b	KBH-D057-f4bcce2e6d7e	0.03278688524590164
inc_1bd0f85d1967890c	2	KBC-D057-45b99fa125935926d356e9b6	KBH-D057-f4bcce2e6d7e	0.03125763125763126
inc_1bd0f85d1967890c	3	KBC-D057-728f4de0d3d02c2e44535e4d	KBH-D057-f4bcce2e6d7e	0.030798389007344232
inc_1bd0f85d1967890c	4	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	0.030621785881252923
inc_1bd0f85d1967890c	5	KBC-D057-e9a382e7d4fd09cb360debfc	KBH-D057-da53c9e679f7	0.029857397504456328
inc_1bd0f85d1967890c	6	KBC-D057-6eb155351cb0c12576824a54	KBH-D057-562ed69e4788	0.02967032967032967
