incident_id	data_kind	local_path	bytes	sha256	upstream_hash_verified
inc_b8f2fc204d33911b	label	02_datasets/acquired/labels/injection/inc_b8f2fc204d33911b/inject_time.txt	10	c17fcaa1047c07738176849000c1b88e1f0ddda57a2a73a42ab0c8c58c83e0a3	False
inc_b8f2fc204d33911b	observation	02_datasets/acquired/raw/inc_b8f2fc204d33911b/logs.parquet	336876	e1a25e50c8b0beae4b2886df54d86d2f28877d0b611fed98411e9c0b0c77dad3	True
inc_b8f2fc204d33911b	observation	02_datasets/acquired/raw/inc_b8f2fc204d33911b/metrics.parquet	157212	f46b3d354b234e37c424f54a005329b61aac83d15dcdd46b5642e55f390ab25a	True
inc_b8f2fc204d33911b	observation	02_datasets/acquired/raw/inc_b8f2fc204d33911b/traces.parquet	10146857	56ca8f6dbeb76fab2d33faeca54bce8f40e9c5491ebd76404ebb2dfd83409367	True
inc_fea0b6870c17feac	label	02_datasets/acquired/labels/injection/inc_fea0b6870c17feac/inject_time.txt	10	e235854dec09d738024021b17feff34c647f3610d3e669e08f027bbb9b7bd3df	False
inc_fea0b6870c17feac	observation	02_datasets/acquired/raw/inc_fea0b6870c17feac/logs.parquet	191241	36fd5701f2d6e1f2d93131985d6feae5e284bdcbb21828ef9f3e90271a79f6b7	True
inc_fea0b6870c17feac	observation	02_datasets/acquired/raw/inc_fea0b6870c17feac/metrics.parquet	127755	11f2df96b6b2b60a9600bacd8d3163b2f31a614aa756c19adfc51a41bcbebfc7	True
inc_fea0b6870c17feac	observation	02_datasets/acquired/raw/inc_fea0b6870c17feac/traces.parquet	5426555	f833e959286b706b60307fc3beca2980f26a0dda62782362dbcb34e7f696b3d1	True
inc_618f73faa4a01c2c	label	02_datasets/acquired/labels/injection/inc_618f73faa4a01c2c/inject_time.txt	10	b46ba552f10d493ed20980a402c3ee7a5d436d1ec442f1534343bc964f3bd0b8	False
inc_618f73faa4a01c2c	observation	02_datasets/acquired/raw/inc_618f73faa4a01c2c/logs.parquet	337942	355576dcfc9ec58a5ae268cf8810f586664a2cb45cb591f0c5c2ab212404ef31	True
inc_618f73faa4a01c2c	observation	02_datasets/acquired/raw/inc_618f73faa4a01c2c/metrics.parquet	158238	ad82f59a98501f4f634fe30bed508cabb0f4a809993c165fb5aa2f340c64b692	True
inc_618f73faa4a01c2c	observation	02_datasets/acquired/raw/inc_618f73faa4a01c2c/traces.parquet	10221848	95545a9293d2603db3739474739c6e0dde3de2a8c6e29361393b3a5346137005	True
inc_ff7d20c7a66ce259	label	02_datasets/acquired/labels/injection/inc_ff7d20c7a66ce259/inject_time.txt	10	5b8132d68105c187d8aad124f7af4a8bdee399082a1fbf35f2f58aa9d1229d55	False
inc_ff7d20c7a66ce259	observation	02_datasets/acquired/raw/inc_ff7d20c7a66ce259/logs.parquet	350672	f3645724f7c021ba532deea938049a575b75d265e1e0535038f5ea5fbb854b16	True
inc_ff7d20c7a66ce259	observation	02_datasets/acquired/raw/inc_ff7d20c7a66ce259/metrics.parquet	161729	3a428e2e4792c6ceecd1e47c770477887b7c14c175347ac52b28011595d23088	True
inc_ff7d20c7a66ce259	observation	02_datasets/acquired/raw/inc_ff7d20c7a66ce259/traces.parquet	10233639	a86818c7ab72aa360c3d81aafd9c4dc6a4da0ef75204cbf3a0c70d07a1fd44da	True
inc_1bd0f85d1967890c	label	02_datasets/acquired/labels/injection/inc_1bd0f85d1967890c/inject_time.txt	10	f9b81dd59dde96ee541de8ff7df7dfd79ca262d1d9c5c67b3f75ba18887412e1	False
inc_1bd0f85d1967890c	observation	02_datasets/acquired/raw/inc_1bd0f85d1967890c/logs.parquet	334150	d7ad77c5bd782c7a2793a9526727fda2135535cea371ef4290dcbe1860824ca1	True
inc_1bd0f85d1967890c	observation	02_datasets/acquired/raw/inc_1bd0f85d1967890c/metrics.parquet	159560	6c7d7e5038844fc6e3e66ae2561d57ba1bbb8c9950b8017433bfa5791daa269a	True
inc_1bd0f85d1967890c	observation	02_datasets/acquired/raw/inc_1bd0f85d1967890c/traces.parquet	10149026	7280e269cfc28daa5bc6e44b184ec430996295dd203f55fc2d8fabfff289c02c	True
inc_e5991ba8d859360d	label	02_datasets/acquired/labels/injection/inc_e5991ba8d859360d/inject_time.txt	10	ed79a2203ec0ce69dd9e0481e12b1a263d895eda521b9c011df14d5fb51b01cd	False
inc_e5991ba8d859360d	observation	02_datasets/acquired/raw/inc_e5991ba8d859360d/logs.parquet	345667	9b311baa1d2e7cf9910c68a83b87c6220f719d7dd7d1472d4d759ac51be38559	True
inc_e5991ba8d859360d	observation	02_datasets/acquired/raw/inc_e5991ba8d859360d/metrics.parquet	160840	7fc076f546364b1f5c99701eb4c40756ebcedc3e841b5750f7bf8f9d4bf15a0a	True
inc_e5991ba8d859360d	observation	02_datasets/acquired/raw/inc_e5991ba8d859360d/traces.parquet	10221446	6e12fbdf92a66fab23bfe24342c3829038d847e751b8b5fd6dc224ef5d62c5e4	True
inc_a9c5f4078ddde5fb	label	02_datasets/acquired/labels/injection/inc_a9c5f4078ddde5fb/inject_time.txt	10	e99822a74ce4b3ddc30b528c502ff3fa8a9b6cc53ce730ca3b0dd2e66b0158af	False
inc_a9c5f4078ddde5fb	observation	02_datasets/acquired/raw/inc_a9c5f4078ddde5fb/logs.parquet	334514	3cfb89674c2c90a7ced30df521fa7df552bad5ede2a9e48ef7fd5eb994ae7f5b	True
inc_a9c5f4078ddde5fb	observation	02_datasets/acquired/raw/inc_a9c5f4078ddde5fb/metrics.parquet	160614	df715e01d9bdf3e6d89b1381737fc87766c806134672632adbd9ee4c27262a48	True
inc_a9c5f4078ddde5fb	observation	02_datasets/acquired/raw/inc_a9c5f4078ddde5fb/traces.parquet	10107184	473bc25fb7eb659bb6492336a942aeca9416f234c87a1b09585ac7eccd2ca05c	True
inc_ed76f6a4a2ccbe29	label	02_datasets/acquired/labels/injection/inc_ed76f6a4a2ccbe29/inject_time.txt	10	375c288779a77bb96ce878b3fbec82b2caefacea89ef59fd2aaa038bf9ae7372	False
inc_ed76f6a4a2ccbe29	observation	02_datasets/acquired/raw/inc_ed76f6a4a2ccbe29/logs.parquet	344568	cc54ba80c871b76a2bfafebdcf377b29ef47c960b86347ada8edaed1bc26ebba	True
inc_ed76f6a4a2ccbe29	observation	02_datasets/acquired/raw/inc_ed76f6a4a2ccbe29/metrics.parquet	164778	59b36387c7a66818e5545a7fab07060841a8d76e9cc93177906ff959c7a27220	True
inc_ed76f6a4a2ccbe29	observation	02_datasets/acquired/raw/inc_ed76f6a4a2ccbe29/traces.parquet	10232511	ffccbbc9a5f21d879efcae4c71147fce4974ba82ee37a1f03c79740083d446dd	True
inc_b6c8b8329c2790cb	label	02_datasets/acquired/labels/injection/inc_b6c8b8329c2790cb/inject_time.txt	10	c170d6d7744cee5b4838dc5ccf4799b117b68ffd32cefbd6dc33106b1787f4b6	False
inc_b6c8b8329c2790cb	observation	02_datasets/acquired/raw/inc_b6c8b8329c2790cb/logs.parquet	342286	29c85c7dcf16d986d226b9f1b5565c97775c0cdc4efe5a564258fd2745bcd1c9	True
inc_b6c8b8329c2790cb	observation	02_datasets/acquired/raw/inc_b6c8b8329c2790cb/metrics.parquet	162878	5563e35b896144b6d5fc700a1048913857c136a0fae0558dbac6db11879be782	True
inc_b6c8b8329c2790cb	observation	02_datasets/acquired/raw/inc_b6c8b8329c2790cb/traces.parquet	10269672	324303a04481f80c7f9259e30e5d1a97b9e1a2e4b82b573235de4ce3526497e4	True
inc_5aec36653e1ae8e1	label	02_datasets/acquired/labels/injection/inc_5aec36653e1ae8e1/inject_time.txt	10	e075b67b22a06f8eac9c7e78233b933d81df5b37faadde73722a484f1af485b7	False
